exampleID;order;family;scientific_name;record_type;life_stage;record_URL;image_URL;content;source;source_DOI;source_URL
1;Hymenoptera;Formicidae;Diacamma cyaneiventre;literature;adult;;;"In Diacamma, the single gamergate is replaced by one of her daughters (or occasionally by a sister). From a long-term genetic survey of nests of D. cyaneiventre, André et al. (2006) estimated the rate of gamergate turnover as well as the lifespan of workers and gamergate tenure using a maximum likelihood model developed for this purpose. ";"André, J. B., C. Peeters, M. Huet, and C. Doums. 2006. Estimating the rate of gamergate turnover in the queenless ant Diacamma cyaneiventre using a maximum likelihood model. Insectes Sociaux. 53(2):233-240.";10.1007/s00040-006-0863-z;
2;Hymenoptera;Formicidae;Diacamma ceylonense;database;adult;https://www.antwiki.org/wiki/Diacamma_ceylonense;;"In Diacamma, the future gamergate is very aggressive towards infertile workers during the first days of her adult life. Overt aggression disappears at about three weeks in D. ceylonense, when the future gamergate begins to lay male-destined eggs and is ready to mate. Over the same period, her Cuticular Hydrocarbons profile alters, changing from a chemical signature similar to that of a sterile worker towards that of a gamergate (Cuvillier-Hot et al. 2002). In nature, these behavioural and chemical changes coincide with a reduction in conflict within the nest: faced with a virgin future gamergate, infertile workers have an interest in producing male-destined eggs; however, once the gamergate produces female eggs, they have an interest in rearing her offspring. This is a clear demonstration of a shift from physical inhibition to chemical signalling.";Antwiki;;
3;Hymenoptera;Formicidae;Pseudoneoponera insularis;database;adult;https://www.antwiki.org/wiki/Pseudoneoponera_insularis;;"Colonies are extremely small (10 workers/colony). Most colonies have one gamergate (Ito 1993). However winged queens also exist in this species, and 1 colony in Bogor was found with a dealated queen (F. Ito pers. comm.). This suggests that gamergates can function as secondary reproductives, although most colonies are likely to multiply by fission.";Antwiki;;
4;Hymenoptera;Formicidae;Hagensia peringueyi saldanhae;database;adult;https://www.antwiki.org/wiki/Hagensia_peringueyi_saldanhae;;"In addition to gamergates, both winged and wingless males occur in H. peringueyi saldanhae (C. Peeters & H. Robertson unpubl.). Over 50 nests were excavated, in most months of the year. Both winged and wingless males were found in pitfalls during November-April. Thorax structure of winged and wingless males is much the same, hence it is not appropriate to describe the latter as ergatoid males, because their thorax is not reduced and worker-like (confirmed by SEM). Importantly, no winged queens are known in this species, and our dissections revealed one gamergate per nest";Antwiki;;
5;Hymenoptera;Formicidae;Bothroponera tesseronoda;database;adult;https://www.antwiki.org/wiki/Bothroponera_tesseronoda;;"Gamergates are the normal reproductives in this species. Colonies (n = 9) consisted of 102 (± SD 28) workers on average, with one to eight gamergates (inseminated and egg-laying workers) per colony (Ito 2010).";Antwiki;;
6;Hymenoptera;Formicidae;Platythyrea cribrinodis;literature;adult;;;"The workers were uniform in morphology, and there was no evidence of even a very cryptic ergatoid queen. The interocular widths and scape lengths of workers were normally distributed. The coefficient of variation of interocular width was 3.54%. Only one ant in each nest was inseminated. The cuticles of these mated workers were soft and poorly sclerotised compared to the exoskeletons of their nestmates. Their ovaries were well developed, being about 7.8 mm long, and consisted of four
ovarioles per ovary, except for those of one ant that had 4 + 6. Three or four maturing oocytes and clusters of nurse cells, one mature oocytes about 1.6 mm long, and several basal corpora lutea were found in each of the ovarioles. ";"Villet, M. 1991. Reproduction and division of labour in Platythyrea cf. cribrinodis (Gerstaecker 1858) (Hymenoptera: Formicidae): comparisons of individuals, colonies and species. Trop. Zool. 4, 209-231.";10.1080/03946975.1991.10539491;
7;Hymenoptera;Formicidae;Ectomomyrmex leeuwenhoeki;database;adult;https://www.antwiki.org/wiki/Ectomomyrmex_leeuwenhoeki;;"This species is AQ+G type: sexual reproduction is performed by dealated queen (seven colonies) or mated worker (eight colonies). All colonies (from Ulu Gombak, Peninsular Malaysia) were monogynous with one mated egg-laying female. Colony size was very small with fewer than 10 workers. In both the gamergate and queen colonies, dominance interactions were very rare but frequent aggressions were observed in orphaned colonies. The most dominant worker in an orphaned colony fragment mated with a male (Ito et al. 2007)";Antwiki;;
8;Hymenoptera;Formicidae;Ophthalmopone berthoudi;database;adult;https://www.antwiki.org/wiki/Ophthalmopone_berthoudi;;"Twelve nests were excavated near Hoedspruit (Limpopo province) and a total of 619 workers were dissected. The number of mated workers per nest ranged from 1 to 36, and ovarian activity varied according to how many were present in a nest (Sledge et al. 1996). In nests with high proportions of mated workers, they exhibited diverse behaviours (mainly brood-related) and in some cases could not be distinguished behaviourally from virgin workers. In nests with low proportions of gamergates, these were more fecund and did not participate in colony labour. The behavioural profile of gamergates is therefore linked to their reproductive physiology (Sledge et al. 1999). Unlike other queenless ants where dominance interactions regulate reproductive activity among workers, there is no aggression in O. berthoudi, and mesh experiments showed that contact pheromones underlie regulation (Sledge et al. 2001).";Antwiki;;
9;Hymenoptera;Formicidae;Leptogenys schwabi;literature;adult;;;"Unlike the monogynous colonies (one ergatoid queen) in the vast majority of Leptogenys species, L. schwabi colonies are polygynous with gamergates. Seven workers out of 260 from colony 1 and six out of 146 from colony 2 were mated, and all of these had active ovaries containing oocytes and corpora lutea (""yellow bodies""). Virgin laying workers were few unless gamergates were experimentally removed from the colony, indicating that their reproductive physiology is regulated by the gamergates. No physical interactions or oophagy were seen, implicating a pheromonal mechanism of regulation.";"Davies SJ, Villet MH, Blomefield TM & Crewe RM 1994. Reproduction and division of labour in Leptogenys schwabi Forel (Hymenoptera Formicidae), a polygynous, queenless ponerine ant. Ethology Ecology & Evolution";10.1080/08927014.1994.9522975;
10;Hymenoptera;Formicidae;Ophthalmopone;database;adult;https://www.antwiki.org/wiki/Ophthalmopone;;"A highly variable proportion of workers in each nest are mated (1.4–66% for O. berthoudi; Peeters & Crewe, 1985; Sledge et al., 1996 and 2001), and these gamergate workers perform all reproduction for the colony. Males enter foreign colonies and mate preferentially with the younger workers (Peeters & Crewe, 1986). There is apparently no social regulation over which or how many workers mate. Sledge et al. (2001) found no evidence of aggressive dominance interactions among gamergates or between gamergates and unmated workers in O. berthoudi, though they found clear evidence that gamergates chemically suppress haploid egg production in virgin workers. The fecundity of gamergates is low (fewer than one egg per gamergate per day; Peeters & Crewe, 1985a), which is offset by the presence of multiple reproductives per colony. Sledge et al. (1999) studied the division of labor in O. berthoudi colonies and found that as the percentage of gamergates in a colony decreases over a season, the fecundity of the gamergates increases and their range of activities becomes more restricted. Gamergates are never found outside the nest except during nest transfers (Peeters & Crewe, 1985a).";Antwiki;;
